rank	word	frequency
404	al.	205
405	Tür	204
406	gesagt	204
407	Mensch	202
408	stellt	202
409	Moment	201
410	Problem	201
411	Schule	201
412	Thema	201
413	eigene	201
414	ihres	200
415	recht	200
416	Nacht	199
417	fünf	199
418	Millionen	198
419	Weise	198
420	richtig	198
421	<equation>	197
422	Bedeutung	197
423	Damit	197
424	lag	197
425	EU	196
426	S.	196
427	bleibt	196
428	eben	196
429	gehört	195
430	insbesondere	195
431	politischen	195
432	Anfang	194
433	machte	194
434	Stunden	193
435	Oder	192
436	all	192
437	Leute	191
438	leicht	191
439	oben	191
440	schwer	191
441	solche	191
442	Grund	190
443	nahm	190
444	seines	190
445	Rahmen	189
446	Warum	189
447	findet	189
448	gute	189
449	möchte	189
450	verstehen	189
451	zunächst	189
452	Probleme	188
453	Raum	188
454	stark	187
455	USA	186
456	Ort	185
457	ebenso	185
458	daß	184
459	fest	184
460	Abb.	183
461	Den	183
462	Uhr	183
463	konnten	183
464	unser	183
465	wer	183
466	Angst	182
467	Gefühl	182
468	wichtig	182
469	System	181
470	Vielleicht	181
471	endlich	181
472	lang	181
473	seien	181
474	sonst	181
475	Körper	180
476	tatsächlich	180
477	Kapitel	179
478	Lebens	179
479	Während	179
480	stellen	179
481	zehn	179
482	Namen	178
483	Bereich	177
484	führt	177
485	völlig	177
486	bekommen	176
487	fand	176
488	g	175
489	häufig	175
490	je	175
491	>	174
492	Seine	174
493	gesehen	174
494	Schritt	173
495	Wort	173
496	hielt	173
497	Minuten	172
498	Sein	172
499	genug	172
500	Jetzt	171
501	bist	171
502	jemand	170
503	bringen	169
504	jede	169
505	sofort	169
506	sowohl	169
507	Männer	167
508	Nein	166
509	Viele	166
510	Wirtschaft	166
511	statt	166
512	sprechen	165
513	Luft	164
514	Schon	164
515	hoch	164
516	rund	164
517	deutsche	163
518	direkt	163
519	hast	163
520	sozialen	163
521	vgl.	163
522	Seit	162
523	darin	162
524	Ist	161
525	Mein	161
526	SPD	161
527	bedeutet	160
528	nämlich	160
529	Möglichkeit	159
530	Sprache	159
531	verschiedenen	159
532	Dieser	158
533	Hause	158
534	könnten	158
535	somit	158
536	warum	158
537	Dinge	157
538	Europa	157
539	Person	157
540	blieb	157
541	liegen	157
542	vergangenen	157
543	zuvor	157
544	Daten	156
545	Glück	156
546	Gruppe	156
547	bevor	156
548	Ihnen	155
549	Mitte	155
550	Situation	155
551	darf	155
552	leben	155
553	Personen	154
554	Stimme	154
555	zumindest	154
556	&	153
557	aufgrund	153
558	führen	153
559	scheint	153
560	zweiten	153
561	Alle	152
562	Liebe	152
563	Platz	152
564	Richtung	152
565	innerhalb	152
566	Licht	151
567	Stelle	151
568	hätten	151
569	meist	151
570	neu	151
571	Hilfe	150
572	gekommen	150
573	jedem	150
574	sechs	150
575	Forschung	149
576	Noch	149
577	Sinn	149
578	Zeiten	149
579	gegeben	149
580	spricht	149
581	junge	148
582	Einsatz	147
583	Musik	147
584	Mädchen	147
585	alte	147
586	ganzen	147
587	Dieses	146
588	Krieg	145
589	Nun	145
590	dachte	145
591	Deutschen	144
592	entwickelt	144
593	mehrere	144
594	bald	143
595	schien	143
596	Durch	142
597	Informationen	142
598	obwohl	142
599	unseren	142
600	Abend	141
601	Allerdings	141
602	Alles	141
603	Boden	141
604	hohen	141
605	politische	141
606	Herz	140
607	groß	140
608	soziale	140
609	gemeinsam	139
610	Tagen	138
611	begann	138
612	bisher	138
613	indem	138
614	setzen	138
615	stellte	138
616	Natürlich	137
617	Wahl	137
618	jedes	137
619	Also	136
620	Antwort	136
621	Kraft	136
622	beide	136
623	bisschen	136
624	erzählt	136
625	langsam	136
626	verschiedene	136
