rank	word	frequency
398	Rinne	232
399	Tháinig	231
400	amhlaidh	231
401	cuma	230
402	deimhin	230
403	bheirt	229
404	focal	228
405	tugadh	228
406	bean	227
407	bhaile	227
408	fanacht	226
409	leath	226
410	díobh	225
411	labhairt	225
412	Deir	224
413	fáth	224
414	B'	223
415	cúig	223
416	Fómhair	222
417	cosúil	222
418	imigh	222
419	ama	221
420	chaitheamh	221
421	dtús	220
422	rialtas	220
423	bhealach	219
424	éirí	219
425	Nach	218
426	fios	218
427	haon	218
428	mí	218
429	beo	217
430	gcéad	217
431	iontach	217
432	m'	216
433	dán	215
434	léiriú	215
435	aird	214
436	scannán	214
437	Baile	213
438	breá	212
439	cúrsaí	212
440	luath	212
441	mbíonn	212
442	scoile	212
443	tráth	212
444	iarracht	211
445	nóiméad	211
446	De	210
447	aithne	210
448	Chuaigh	209
449	chaoi	209
450	sásta	209
451	“	209
452	tAire	208
453	airde	207
454	Sin	206
455	haois	206
456	tamall	206
457	that	206
458	beirt	205
459	muintir	205
460	deara	203
461	láidir	203
462	oibre	203
463	Ansin	202
464	domhain	202
465	Bhaile	201
466	mBaile	201
467	rugadh	201
468	iomlán	200
469	shaothar	200
470	stair	200
471	áireamh	200
472	seachtaine	199
473	Béarla	198
474	cibé	198
475	iontu	198
476	mhí	198
477	tuairim	198
478	féachaint	197
479	mná	197
480	breathnú	196
481	mbaineann	195
482	rudaí	195
483	ainneoin	194
484	haghaidh	194
485	líon	194
486	seans	194
487	for	193
488	Mhic	192
489	cead	192
490	cionn	192
491	rogha	192
492	shampla	192
493	talamh	191
494	domhan	190
495	mbun	190
496	Ni	189
497	deis	189
498	é	189
499	fhéadfadh	189
500	sula	189
501	lorg	188
502	thugann	188
503	son	187
504	dráma	186
505	scéalta	186
506	Fionn	185
507	beaga	185
508	bhrí	185
509	bun	184
510	dtaobh	182
511	his	182
512	mura	182
513	cainte	181
514	imirt	181
515	phobal	181
516	athrú	180
517	amhras	179
518	inti	179
519	Stáit	178
520	dtreo	178
521	on	178
522	úd	178
523	Na	177
524	scoileanna	177
525	thiar	177
526	líne	176
527	mba	176
528	éigean	176
529	céard	175
530	deas	175
531	fhearr	173
532	phobail	173
533	thíos	173
534	toisc	173
535	Aontaithe	172
536	Ina	172
537	John	172
538	chluiche	172
539	chor	171
540	leanbh	171
541	slán	171
542	Naomh	170
543	thuig	170
544	ceithre	169
545	foilsíodh	169
546	óna	169
547	San	168
548	Tar	168
549	déanaí	168
