rank	word	frequency
432	sol	193
433	Sur	192
434	ton	192
435	as	191
436	donner	191
437	mode	190
438	musique	190
439	cheveux	189
440	haut	189
441	scène	189
442	Ça	189
443	aucun	188
444	jeu	188
445	espace	187
446	réalité	187
447	vivre	187
448	action	186
449	contexte	186
450	sociale	186
451	vite	186
452	étude	186
453	œuvre	186
454	cause	185
455	discours	185
456	marché	185
457	titre	185
458	aide	184
459	genre	184
460	ligne	184
461	pratique	184
462	trouve	184
463	état	184
464	auprès	183
465	derrière	183
466	pouvait	183
467	fort	182
468	politiques	182
469	période	182
470	services	182
471	livre	181
472	parler	181
473	prise	181
474	rendre	181
475	État	181
476	grands	180
477	millions	180
478	veut	180
479	Macron	179
480	Pas	179
481	aucune	179
482	conditions	179
483	fonction	179
484	pourquoi	179
485	française	178
486	président	177
487	force	176
488	envie	175
489	es	175
490	matière	175
491	milieu	175
492	ayant	174
493	processus	174
494	vrai	174
495	Plus	173
496	aime	173
497	bout	173
498	différents	173
499	emploi	173
500	expérience	173
501	texte	173
502	trouver	173
503	école	173
504	premiers	172
505	travaux	172
506	Europe	171
507	Sa	171
508	lorsqu'	171
509	sujet	171
510	droite	170
511	tel	170
512	belle	169
513	laisser	169
514	certaines	168
515	salle	168
516	explique	167
517	fond	167
518	présence	167
519	toi	167
520	Comment	166
521	attention	166
522	particulier	166
523	équation	166
524	mains	165
525	terme	165
526	voit	165
527	deuxième	164
528	Mon	163
529	avez	163
530	occasion	163
531	prend	163
532	terre	163
533	acteurs	162
534	argent	162
535	nouveaux	162
536	table	162
537	comprendre	161
538	étant	161
539	doivent	160
540	dû	160
541	existe	160
542	mots	160
543	pièce	160
544	produits	160
545	semaine	160
546	sociaux	160
547	énergie	160
548	Enfin	159
549	mot	159
550	troisième	159
551	équipe	159
552	davantage	158
553	maintenant	158
554	pratiques	158
555	vont	158
556	Or	157
557	objectif	157
558	penser	157
559	juillet	156
560	modèle	156
561	parmi	156
562	pense	156
563	Emmanuel	155
564	dix	155
565	film	155
566	met	155
567	origine	155
568	Louis	153
569	celles	153
570	entreprises	153
571	plein	153
572	vais	153
573	Oui	152
574	Qu'	152
575	base	152
576	chambre	152
577	confiance	152
578	environnement	152
579	langue	152
580	particulièrement	152
581	plan	152
582	résultats	152
583	étudiants	152
584	malgré	151
585	nombreuses	151
586	offre	151
587	peux	151
588	qualité	151
589	questions	151
590	sourire	151
591	donné	150
592	ensuite	150
593	retour	150
594	arrive	149
595	devenir	149
596	important	149
597	&	148
598	Elles	148
599	Puis	148
600	campagne	148
601	charge	148
602	peau	148
603	présente	148
604	succès	148
605	valeur	148
606	veux	148
607	majorité	147
608	chacun	146
609	compris	146
610	domaine	146
611	départ	146
612	faisait	146
613	lumière	146
614	manque	146
615	vieux	146
616	éviter	146
617	grandes	145
618	objet	145
619	petits	145
620	bureau	144
621	entrée	144
622	six	144
623	accès	143
624	devient	143
625	lien	143
626	éléments	143
627	Non	142
628	roi	142
629	allait	141
630	tôt	141
631	durant	140
632	mesures	140
633	relation	140
634	rencontre	140
635	telle	140
636	voire	140
637	beau	139
638	image	139
639	national	139
640	sécurité	139
641	Que	138
642	laisse	138
643	parti	137
644	réponse	137
645	intérieur	136
646	journée	136
647	permis	136
648	second	136
649	simplement	136
650	soi	136
651	direction	135
652	lit	135
653	sorte	135
654	taille	135
655	œil	135
656	Bien	134
657	amis	134
658	approche	133
659	contraire	133
660	culture	133
661	livres	133
662	numérique	133
663	quel	133
664	écrit	133
665	carrière	132
666	intérêt	132
667	produit	132
668	travailler	132
669	Sans	131
670	art	131
671	mission	131
672	tandis	131
673	différentes	130
674	instant	130
675	rapidement	130
676	êtes	130
677	Même	129
678	dispositif	129
679	faisant	129
680	venir	129
681	vin	129
682	bas	128
683	etc.	128
684	frère	128
685	lui-même	128
686	mouvement	128
687	quotidien	128
688	sanitaire	128
689	-je	127
690	François	127
691	conscience	127
692	enfance	127
693	lieux	127
694	moyenne	127
695	passage	127
696	plupart	127
697	poids	127
698	semaines	127
699	Pourquoi	126
700	Ses	126
701	enquête	126
702	taux	126
703	jouer	125
704	mai	125
705	parle	125
706	Pourtant	124
707	arrivée	124
708	importe	124
709	liberté	124
710	longue	124
711	présent	124
712	relations	124
713	train	124
714	affaires	123
715	ait	123
716	difficile	123
717	juin	123
718	rouge	123
719	voie	123
720	secteur	122
721	sortir	122
722	S'	121
723	climatique	121
724	dernières	121
725	Cet	120
726	avril	120
727	création	120
728	cuisine	120
729	groupes	120
730	presse	120
731	sœur	120
732	blanc	119
733	certain	119
734	formes	119
735	forte	119
736	premières	119
737	professionnels	119
738	activités	118
739	aura	118
740	décembre	118
741	filles	118
742	gestion	118
743	hors	118
744	nécessaire	118
745	perdu	118
746	population	118
747	noir	117
748	problème	117
749	publique	117
750	rester	117
751	Assemblée	116
752	Jean	116
753	commun	116
754	septembre	116
755	téléphone	116
756	unique	116
757	élèves	116
758	Ma	115
759	contrôle	115
760	feu	115
761	janvier	115
